睛彩河北高清,rtp://239.253.92.104:6221
河北卫视高清,rtp://239.253.92.154:6011
河北经济高清,rtp://239.253.92.171:6001
河北都市高清,rtp://239.253.92.172:6002
河北少儿高清,rtp://239.253.92.174:6004
河北公共高清,rtp://239.253.92.175:6005
河北农民高清,rtp://239.253.92.176:6006
三佳购物高清,rtp://239.253.92.24:8130
河北影视剧高清,rtp://239.253.92.173:6003
CCTV-1高清,rtp://239.253.92.83:8012
CCTV-1综合,rtp://239.253.92.1:8101
CCTV-2高清,rtp://239.253.92.190:6065
CCTV-2财经,rtp://239.253.92.2:8001
CCTV-3高清,rtp://239.253.92.191:6057
CCTV-3高清,rtp://239.253.92.21:6226
CCTV-3综艺,rtp://239.253.92.67:6007
CCTV-4高清,rtp://239.253.92.251:6141
CCTV-4中文国际,rtp://239.253.92.55:8002
CCTV-5高清,rtp://239.253.92.181:6046
CCTV-5高清,rtp://239.253.92.216:6227
CCTV-5体育,rtp://239.253.92.62:6008
CCTV-6高清,rtp://239.253.92.193:6058
CCTV-6电影,rtp://239.253.92.63:6009
CCTV-7高清,rtp://239.253.92.194:6059
CCTV-7国防军事,rtp://239.253.92.7:8003
CCTV-8高清,rtp://239.253.92.195:6060
CCTV-8电视剧,rtp://239.253.92.64:6010
CCTV-9高清,rtp://239.253.92.107:6020
CCTV-9纪录,rtp://239.253.92.9:8004
CCTV-10高清,rtp://239.253.92.196:6061
CCTV-10科教,rtp://239.253.92.58:8005
CCTV-11戏曲,rtp://239.253.92.11:8006
CCTV-12高清,rtp://239.253.92.197:6062
CCTV-12社会与法,rtp://239.253.92.59:8007
CCTV-13高清,rtp://239.253.92.13:8008
CCTV-14高清,rtp://239.253.92.198:6063
CCTV-14少儿,rtp://239.253.92.60:8009
CCTV-15音乐,rtp://239.253.92.14:8010
CCTV-5+高清,rtp://239.253.92.82:8013
CETV-1高清,rtp://239.253.92.211:6069
CGTN高清,rtp://239.253.92.15:8011
湖南卫视高清,rtp://239.253.92.84:8015
湖南卫视,rtp://239.253.92.68:8022
浙江卫视高清,rtp://239.253.92.90:8020
浙江卫视,rtp://239.253.92.72:8023
江苏卫视高清,rtp://239.253.92.88:8018
江苏卫视,rtp://239.253.92.70:8024
北京卫视高清,rtp://239.253.92.87:8014
北京卫视,rtp://239.253.92.61:8026
东方卫视高清,rtp://239.253.92.89:8019
东方卫视,rtp://239.253.92.49:8038
天津卫视高清,rtp://239.253.92.91:8021
天津卫视,rtp://239.253.92.37:8127
深圳卫视高清,rtp://239.253.92.86:8017
深圳卫视,rtp://239.253.92.161:8036
山东卫视高清,rtp://239.253.92.207:8109
山东卫视,rtp://239.253.92.38:8029
广东卫视高清,rtp://239.253.92.206:8108
广东卫视,rtp://239.253.92.34:8042
辽宁卫视高清,rtp://239.253.92.115:6056
辽宁卫视,rtp://239.253.92.30:8028
安徽卫视高清,rtp://239.253.92.209:6566
安徽卫视,rtp://239.253.92.69:8025
湖北卫视高清,rtp://239.253.92.210:6567
湖北卫视,rtp://239.253.92.35:8037
四川卫视高清,rtp://239.253.92.16:6043
四川卫视,rtp://239.253.92.73:8033
重庆卫视高清,rtp://239.253.92.10:6053
重庆卫视,rtp://239.253.92.75:8039
贵州卫视高清,rtp://239.253.92.105:6055
贵州卫视,rtp://239.253.92.31:8035
江西卫视高清,rtp://239.253.92.19:6145
江西卫视,rtp://239.253.92.71:8034
东南卫视高清,rtp://239.253.92.201:6146
东南卫视,rtp://239.253.92.29:8040
河南卫视高清,rtp://239.253.92.137:6144
河南卫视,rtp://239.253.92.33:8031
吉林卫视高清,rtp://239.253.92.202:6147
吉林卫视,rtp://239.253.92.51:8044
黑龙江卫视高清,rtp://239.253.92.85:8016
黑龙江卫视,rtp://239.253.92.50:8032
陕西卫视,rtp://239.253.92.36:8045
山西卫视,rtp://239.253.92.44:8046
青海卫视,rtp://239.253.92.47:8048
海南卫视,rtp://239.253.92.77:8049
云南卫视,rtp://239.253.92.28:8030
广西卫视,rtp://239.253.92.76:8043
宁夏卫视,rtp://239.253.92.32:8050
西藏卫视,rtp://239.253.92.42:8051
新疆卫视,rtp://239.253.92.41:8052
甘肃卫视,rtp://239.253.92.48:8053
内蒙古卫视,rtp://239.253.92.45:8047
卡酷少儿,rtp://239.253.92.162:8054
金鹰卡通,rtp://239.253.92.163:8055
陶瓷高清,rtp://239.253.92.221:6152
全纪实高清,rtp://239.253.92.74:6124
全纪实,rtp://239.253.92.205:8107
幸福彩高清,rtp://239.253.92.81:6129
游戏风云高清,rtp://239.253.92.6:6122
欢笑剧场4K,rtp://239.253.92.65:6123
魅力足球高清,rtp://239.253.92.78:6125
动漫秀场高清,rtp://239.253.92.79:6126
劲爆体育高清,rtp://239.253.92.140:6132
生活时尚高清,rtp://239.253.92.8:6127
都市剧场高清,rtp://239.253.92.80:6128
极速汽车高清,rtp://239.253.92.96:6130
金鹰纪实高清,rtp://239.253.92.103:6054
纪实人文高清,rtp://239.253.92.99:6013
中华美食高清,rtp://239.253.92.219:6228
靓妆,rtp://239.253.92.150:8088
汽摩,rtp://239.253.92.46:6110
中学生,rtp://239.253.92.27:6106
老故事,rtp://239.253.92.132:8068
CETV-2,rtp://239.253.92.108:6136
CETV-4,rtp://239.253.92.200:6137
财富天下,rtp://239.253.92.134:8090
环球奇观,rtp://239.253.92.130:8069
文物宝库,rtp://239.253.92.159:8070
国学频道,rtp://239.253.92.158:8071
早期教育,rtp://239.253.92.39:6107
摄影频道,rtp://239.253.92.144:8085
梨园频道,rtp://239.253.92.152:8086
武术世界,rtp://239.253.92.141:8064
电视指南,rtp://239.253.92.17:6078
第一剧场,rtp://239.253.92.18:6079
风云剧场,rtp://239.253.92.22:6073
怀旧剧场,rtp://239.253.92.98:6120
风云音乐,rtp://239.253.92.111:8060
风云足球,rtp://239.253.92.110:8061
兵器科技,rtp://239.253.92.119:8065
世界地理,rtp://239.253.92.113:8066
女性时尚,rtp://239.253.92.249:6103
高尔夫·网球,rtp://239.253.92.117:8062
央视文化精品,rtp://239.253.92.25:6104
山东教育卫视,rtp://239.253.92.106:6135
石家庄新闻综合高清,rtp://239.253.92.149:6035
石家庄新闻,rtp://239.253.92.92:8119
石家庄娱乐,rtp://239.253.92.93:8120
石家庄生活,rtp://239.253.92.94:8121
石家庄都市,rtp://239.253.92.95:8122
秦皇岛-1,rtp://239.253.92.52:6021
秦皇岛-2,rtp://239.253.92.53:6022
秦皇岛-2,rtp://239.253.92.54:6023
张家口-1,rtp://239.253.92.225:8115
张家口-2,rtp://239.253.92.226:8116
张家口-3,rtp://239.253.92.227:8117
张家口导视,rtp://239.253.92.228:8118
廊坊新闻综合,rtp://239.253.92.164:6036
廊坊公共,rtp://239.253.92.166:6037
承德新闻综合,rtp://239.253.92.222:8112
承德新闻综合,rtp://239.253.92.224:8114
承德公共频道,rtp://239.253.92.223:8113
唐山新闻综合,rtp://239.253.92.245:6089
唐山生活服务,rtp://239.253.92.126:6026
唐山影视频道,rtp://239.253.92.127:6027
唐山公共频道,rtp://239.253.92.128:6028
沧州新闻综合,rtp://239.253.92.121:6015
沧州公共频道,rtp://239.253.92.122:6016
沧州影视娱乐,rtp://239.253.92.123:6017
高邑,rtp://239.253.92.160:6041
昌黎,rtp://239.253.92.109:6217
元氏1,rtp://239.253.92.142:6040
黄骅-1,rtp://239.253.92.183:6047
赞皇台,rtp://239.253.92.12:6042
栾城TV,rtp://239.253.92.187:6051
滦平新闻,rtp://239.253.92.100:6142
平泉综合,rtp://239.253.92.156:6012
迁西综合,rtp://239.253.92.247:6091
玉田综合,rtp://239.253.92.118:6133
滦州综合,rtp://239.253.92.97:6138
香河综合,rtp://239.253.92.185:6049
孟村综合,rtp://239.253.92.243:6087
大城综合,rtp://239.253.92.230:6068
兴隆综合,rtp://239.253.93.104:6271
双滦新闻,rtp://239.253.92.147:6224
渤海新区,rtp://239.253.92.246:6090
丰南电视台,rtp://239.253.92.231:6070
矿区电视台,rtp://239.253.92.215:6067
大厂电视台,rtp://239.253.92.253:6244
东光电视台-1,rtp://239.253.93.96:6262
滦南新闻综合,rtp://239.253.92.218:6100
丰润新闻综合,rtp://239.253.92.252:6156
无极新闻综合,rtp://239.253.92.138:6222
优 购 物,rtp://239.253.93.97:6263
快乐购物,rtp://239.253.93.98:6264
家有购物,rtp://239.253.93.99:6265
时尚购物,rtp://239.253.93.101:6267
聚鲨环球精选,rtp://239.253.93.100:6266
党员教育频道,rtp://239.253.92.125:6024
